구분,서울
2021년02월17일,1352.89
2021년02월18일,1355.79
2021년02월19일,1357.06
2021년02월20일,1357.97
2021년02월21일,1358.91
2021년02월22일,1359.20
2021년02월23일,1360.95
2021년02월24일,1361.67
2021년02월25일,1363.95
2021년02월26일,1365.28
2021년02월27일,1366.44
2021년02월28일,1367.63
2021년03월01일,1371.62
2021년03월02일,1373.90
2021년03월03일,1375.71
2021년03월04일,1377.54
2021년03월05일,1378.62
2021년03월06일,1380.36
2021년03월07일,1382.40
2021년03월08일,1384.69
2021년03월09일,1387.62
2021년03월10일,1390.07
2021년03월11일,1391.48
2021년03월12일,1392.63
2021년03월13일,1394.65
2021년03월14일,1397.51
2021년03월15일,1399.39
2021년03월16일,1404.20
2021년03월17일,1407.93
2021년03월18일,1410.17
2021년03월19일,1412.24
2021년03월20일,1413.37
2021년03월21일,1414.19
2021년03월22일,1415.03
2021년03월23일,1415.80
2021년03월24일,1416.24
2021년03월25일,1416.69
2021년03월26일,1416.53
2021년03월27일,1416.29
2021년03월28일,1416.40
2021년03월29일,1416.32
2021년03월30일,1415.94
2021년03월31일,1415.68
2021년04월01일,1415.68
2021년04월02일,1415.24
2021년04월03일,1414.72
2021년04월04일,1414.80
2021년04월05일,1415.60
2021년04월06일,1415.69
2021년04월07일,1415.01
2021년04월08일,1414.84
2021년04월09일,1414.48
2021년04월10일,1413.67
2021년04월11일,1413.89
2021년04월12일,1414.15
2021년04월13일,1413.89
2021년04월14일,1413.68
2021년04월15일,1413.55
2021년04월16일,1413.33
2021년04월17일,1412.65
2021년04월18일,1412.79
2021년04월19일,1413.12
2021년04월20일,1412.58
2021년04월21일,1412.79
2021년04월22일,1412.51
2021년04월23일,1412.19
2021년04월24일,1411.32
2021년04월25일,1411.72
2021년04월26일,1411.74
2021년04월27일,1411.90
2021년04월28일,1412.39
2021년04월29일,1412.25
2021년04월30일,1412.19
2021년05월01일,1412.63
2021년05월02일,1412.99
2021년05월03일,1413.53
2021년05월04일,1414.25
2021년05월05일,1414.53
2021년05월06일,1415.26
2021년05월07일,1415.36
2021년05월08일,1414.61
2021년05월09일,1415.12
2021년05월10일,1416.35
2021년05월11일,1417.66
2021년05월12일,1418.36
2021년05월13일,1420.29
2021년05월14일,1421.65
2021년05월15일,1421.70
2021년05월16일,1422.43
2021년05월17일,1423.61
2021년05월18일,1424.55
2021년05월19일,1425.34
2021년05월20일,1426.09
2021년05월21일,1426.54
2021년05월22일,1425.90
2021년05월23일,1426.72
2021년05월24일,1428.32
2021년05월25일,1429.49
2021년05월26일,1429.87
2021년05월27일,1431.78
2021년05월28일,1432.51
2021년05월29일,1431.75
2021년05월30일,1431.97
2021년05월31일,1433.62
2021년06월01일,1436.61
2021년06월02일,1437.72
2021년06월03일,1439.18
2021년06월04일,1440.36
2021년06월05일,1441.09
2021년06월06일,1442.47
2021년06월07일,1444.90
2021년06월08일,1447.33
2021년06월09일,1448.49
2021년06월10일,1450.61
2021년06월11일,1452.47
2021년06월12일,1453.26
2021년06월13일,1454.15
2021년06월14일,1455.96
2021년06월15일,1458.21
2021년06월16일,1461.24
2021년06월17일,1463.53
2021년06월18일,1464.31
2021년06월19일,1464.99
2021년06월20일,1465.55
